Date,Close,High,Low,Open,Volume
6/20/2023,274.4500122,274.75,261.1199951,261.5,165611200
6/21/2023,259.4599915,276.9899902,257.7799988,275.1300049,211797100
6/22/2023,264.6099854,265,248.25,250.7700043,166875900
6/23/2023,256.6000061,262.4500122,252.8000031,259.2900085,176584100
6/26/2023,241.0500031,258.3699951,240.6999969,250.0700073,179990600
6/27/2023,250.2100067,250.3899994,240.8500061,243.2400055,164968200
6/28/2023,256.2399902,259.8800049,248.8899994,249.6999969,159770800
6/29/2023,257.5,260.7399902,253.6100006,258.0299988,131283400
6/30/2023,261.769989,264.4500122,259.8900146,260.6000061,112267600
7/3/2023,279.8200073,284.25,275.1099854,276.4899902,119685900
7/5/2023,282.480011,283.8500061,277.6000061,278.8200073,131530900
7/6/2023,276.5400085,279.9700012,272.8800049,278.0899963,120332100
7/7/2023,274.4299927,280.7799988,273.769989,278.4299927,113602000
7/10/2023,269.6099854,277.519989,265.1000061,276.4700012,119425400
7/11/2023,269.7900085,270.8999939,266.3699951,268.6499939,91972400
7/12/2023,271.9899902,276.519989,271.4599915,276.3299866,95672100
7/13/2023,277.8999939,279.4500122,270.6000061,274.5899963,112681500
7/14/2023,281.3800049,285.2999878,276.3099976,277.0100098,119771100
7/17/2023,290.3800049,292.230011,283.5700073,286.6300049,131569600
7/18/2023,293.3399963,295.2600098,286.0100098,290.1499939,112434700
7/19/2023,291.2600098,299.2900085,289.519989,296.0400085,142355400
7/20/2023,262.8999939,280.9299927,261.2000122,279.5599976,175158300
7/21/2023,260.019989,268,255.8000031,268,161050100
7/24/2023,269.0599976,269.8500061,254.1199951,255.8500061,136508500
7/25/2023,265.2799988,272.8999939,265,272.3800049,112757300
7/26/2023,264.3500061,268.0400085,261.75,263.25,95856200
7/27/2023,255.7100067,269.1300049,255.3000031,268.3099976,103697300
7/28/2023,266.4400024,267.25,258.230011,259.8599854,111446000
7/31/2023,267.4299927,269.0799866,263.7799988,267.480011,84582200
8/1/2023,261.0700073,266.4700012,260.25,266.2600098,83166000
8/2/2023,254.1100006,259.519989,250.4900055,255.5700073,101752900
8/3/2023,259.3200073,260.4899902,252,252.0399933,97569100
8/4/2023,253.8600006,264.769989,253.1100006,260.9700012,99242600
8/7/2023,251.4499969,253.6499939,242.7599945,251.4499969,111097900
8/8/2023,249.6999969,250.9199982,245.0099945,247.4499969,96642200
8/9/2023,242.1900024,251.1000061,241.8999939,250.8699951,101596300
8/10/2023,245.3399963,251.8000031,243,245.3999939,109498600
8/11/2023,242.6499939,243.7899933,238.0200043,241.7700043,98866600
8/14/2023,239.7599945,240.6600037,233.75,235.6999969,98595300
8/15/2023,232.9600067,240.5,232.6100006,238.7299957,88197600
8/16/2023,225.6000061,233.9700012,225.3800049,228.0200043,112484500
8/17/2023,219.2200012,226.7400055,218.8300018,226.0599976,120718400
8/18/2023,215.4900055,217.5800018,212.3600006,214.1199951,135813700
8/21/2023,231.2799988,232.1300049,220.5800018,221.5500031,135702700
8/22/2023,233.1900024,240.8200073,229.5500031,240.25,130597900
8/23/2023,236.8600006,238.9799957,229.2899933,229.3399963,101077600
8/24/2023,230.0399933,238.9199982,228.1799927,238.6600037,99777400
8/25/2023,238.5899963,239,230.3500061,231.3099976,106612200
8/28/2023,238.8200073,244.3800049,235.3500061,242.5800018,107673700
8/29/2023,257.1799927,257.480011,237.7700043,238.5800018,134047600
8/30/2023,256.8999939,260.5100098,250.5899963,254.1999969,121988400
8/31/2023,258.0799866,261.1799927,255.0500031,255.9799957,108861700
9/1/2023,245.0099945,259.0799866,242.0099945,257.2600098,132272500
9/5/2023,256.4899902,258,244.8600006,245,129469600
9/6/2023,251.9199982,255.3899994,245.0599976,255.1399994,116959800
9/7/2023,251.4900055,252.8099976,243.2700043,245.0700073,115312900
9/8/2023,248.5,256.519989,246.6699982,251.2200012,118367700
9/11/2023,273.5799866,274.8500061,260.6099854,264.269989,174667900
9/12/2023,267.480011,278.3900146,266.6000061,270.7600098,135999900
9/13/2023,271.2999878,274.980011,268.1000061,270.0700073,111673700
9/14/2023,276.0400085,276.7099915,270.4200134,271.3200073,107709800
9/15/2023,274.3900146,278.980011,271,277.5499878,133422800
9/18/2023,265.2799988,271.4400024,263.7600098,271.1600037,101543300
9/19/2023,266.5,267.8500061,261.2000122,264.3500061,103704000
9/20/2023,262.5899963,273.9299927,262.4599915,267.0400085,122514600
9/21/2023,255.6999969,260.8599854,254.2100067,257.8500061,119531000
9/22/2023,244.8800049,257.7900085,244.4799957,257.3999939,127524100
9/25/2023,246.9900055,247.1000061,238.3099976,243.3800049,104636600
9/26/2023,244.1199951,249.5500031,241.6600037,242.9799957,101993600
9/27/2023,240.5,245.3300018,234.5800018,244.2599945,136597200
9/28/2023,246.3800049,247.5500031,238.6499939,240.0200043,117058900
9/29/2023,250.2200012,254.7700043,246.3500061,250,128346200
10/2/2023,251.6000061,254.2799988,242.6199951,244.8099976,123810400
10/3/2023,246.5299988,250.0200043,244.4499969,248.6100006,101985300
10/4/2023,261.1600037,261.8599854,247.6000061,248.1399994,129721600
10/5/2023,260.0499878,263.6000061,256.25,260,119159200
10/6/2023,260.5299988,261.6499939,250.6499939,253.9799957,117947000
10/9/2023,259.6700134,261.3599854,252.0500031,255.3099976,101377900
10/10/2023,263.6199951,268.9400024,257.6499939,257.75,122656000
10/11/2023,262.9899902,268.6000061,260.8999939,266.2000122,103706300
10/12/2023,258.8699951,265.4100037,256.6300049,262.9200134,111508100
10/13/2023,251.1199951,259.6000061,250.2200012,258.8999939,102073800
10/16/2023,253.9199982,255.3999939,248.4799957,250.0500031,88917200
10/17/2023,254.8500061,257.1799927,247.0800018,250.1000061,93562900
10/18/2023,242.6799927,254.6300049,242.0800018,252.6999969,125147800
10/19/2023,220.1100006,230.6100006,216.7799988,225.9499969,170772700
10/20/2023,211.9900055,218.8600006,210.4199982,217.0099945,137734000
10/23/2023,212.0800018,216.9799957,202.5099945,210,150683400
10/24/2023,216.5200043,222.0500031,214.1100006,216.5,118231100
10/25/2023,212.4199982,220.1000061,212.1999969,215.8800049,107065100
10/26/2023,205.7599945,214.8000031,204.8800049,211.3200073,115112600
10/27/2023,207.3000031,212.4100037,205.7700043,210.6000061,94881200
10/30/2023,197.3600006,210.8800049,194.6699982,209.2799988,136448200
10/31/2023,200.8399963,202.8000031,194.0700073,196.1199951,118068300
11/1/2023,205.6600037,205.9900055,197.8500061,204.0399933,121661700
11/2/2023,218.5099945,219.1999969,211.4499969,212.9700012,125987600
11/3/2023,219.9600067,226.3699951,218.3999939,221.1499939,119281000
11/6/2023,219.2700043,226.3200073,215,223.9799957,117335800
11/7/2023,222.1799927,223.1199951,215.7200012,219.9799957,116900100
11/8/2023,222.1100006,224.1499939,217.6399994,223.1499939,106584800
11/9/2023,209.9799957,220.8000031,206.6799927,219.75,142110500
11/10/2023,214.6499939,215.3800049,205.6900024,210.0299988,130994000
